Curso;MIT em Engenharia de Software com .NET;
Bloco;Desenvolvimento Web com .NET;
Modulo;Desenvolvimento Web com WCF e WWF;
Turma;;
Aluno;Carlos Henrique Meireles Corbo;


Questão;Resposta;
A configuração do(s) computador(es) e equipamentos da sala de aula de aula e a qualidade  do suporte foi apropriada.;Concordo totalmente
Até agora, o curso está atingindo as minhas expectativas;Discordo
Eu adquiri as competências propostas para o módulo.;Discordo totalmente
Até agora, minha turma parece proporcionar um networking relevante para a minha carreira.;Concordo
Até agora, o atendimento de Secretaria que recebi está atingindo as minhas expectivas.;Não sei avaliar
O acervo da biblioteca atendeu as necessidades desse modulo.;Não concordo nem discordo
Até agora, eu indicaria o curso para um amigo.;Concordo totalmente
O professor utilizou o moodle e outros recursos didáticos para ajudar no meu aprendizado;Discordo
Até agora, o curso me parece voltado para as necessidades do mercado.;Discordo totalmente
O professor é atencioso e esteve disponível para tirar duvídas.;Concordo
Gostaria de cursos outro módulos com esse professor.;Não sei avaliar
O professor contribuiu para o meu aprendizado.;Não concordo nem discordo
O professor aproveitou bem os recursos da sala de aula.;Concordo totalmente
O módulo foi útil para o meu crescimento profissional.;Discordo
O professor aproveitou bem o tempo em sala de aula.;Discordo totalmente
Até agora, a coordenação pedagógica parece comprometida com a qualidade do curso.;Concordo
A carga horária fo módulo foi apropriada.;Não sei avaliar
Comentários;Secretaria atende de forma ineficiente.
